C_MODULAR;CENTRO_EDUCATIVO;NIVEL;TIPO;DIRECCION;DISTRITO;UBIGEO;COORDENADAS;TOTAL
336594;JUAN PABLO VIZCARDO Y GUZMAN;Secundaria;Pública de gesti¢n directa;AVENIDA NICOLAS DUEÑAS 555 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.041475,-77.065068;735
336602;1166 LIBERTADOR SIMON BOLIVAR;Secundaria;Pública de gesti¢n directa;JIRON RAMON CARCAMO 195 CONDE DE LA VEGA BAJA - LIMA CERCADO;LIMA;150101;-12.040281,-77.051309;242
336883;FRAY LUIS DE LEON;Secundaria;Privada;JIRON JUAN OLAECHEA ARNAO 1381 ELIO - LIMA CERCADO;LIMA;150101;-12.05399,-77.07401;101
336990;LIMA SAN CARLOS;Secundaria;Privada;AVENIDA URUGUAY 384-390 CERCADO - LIMA CERCADO;LIMA;150101;-12.05415,-77.03947;15
337030;ASOCIACION COLEGIO MARIA ALVARADO;Secundaria;Privada;AVENIDA 28 DE JULIO 249 CERCADO - LIMA CERCADO;LIMA;150101;-12.06495,-77.04391;333
337238;SAN ANDRES;Secundaria;Privada;AVENIDA PETIT THOUARS 179 SANTA BEATRIZ - LIMA CERCADO;LIMA;150101;-12.06483,-77.03619;280
337253;SANTA ISABEL DE HUNGRIA;Secundaria;Privada;AVENIDA NACIONES UNIDAS 1678 CHACRA RIOS NORTE - LIMA CERCADO;LIMA;150101;-12.05328,-77.06148;217
337287;SANTO TOMAS DE AQUINO;Secundaria;Privada;CALLE RINCONADA DE SANTO DOMINGO 209 LIMA - LIMA CERCADO;LIMA;150101;-12.04303,-77.03274;281
337295;SANTA MARIA REYNA;Secundaria;Privada;JIRON JUNIN 1038 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04801,-77.04046;140
337303;SEÑOR DE LA MISERICORDIA;Secundaria;Privada;JIRON JUNIN 1458 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05193,-77.01502;352
337568;ARGENTINA;Secundaria;Pública de gesti¢n directa;AVENIDA ALFONSO UGARTE 1011 LIMA - LIMA CERCADO;LIMA;150101;-12.0519,-77.04201;949
337592;25 NUESTRA SEÑORA DE LA INMACULADA CONCEPCION;Secundaria;Pública de gesti¢n directa;JIRON JUNIN 1238 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05138,-77.0173;273
337741;022 REPUBLICA DE GUATEMALA;Secundaria;Pública de gesti¢n directa;JIRON MANUEL PARDO 225 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04685,-77.01556;259
466383;0035 NUESTRA SEÑORA DE LA VISITACION;Secundaria;Pública de gesti¢n directa;JIRON PACASMAYO 550 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.046186,-77.046883;278
466722;SIMON BOLIVAR;Secundaria;Pública de gesti¢n directa;JIRON SANTA JUSTINA S/N PALOMINO - LIMA CERCADO;LIMA;150101;-12.0618,-77.06906;576
476697;NUESTRA SEÑORA DE LAS MERCEDES;Secundaria;Privada;JIRON MAYNAS 540 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04846,-77.01722;261
496695;NIÑO JESUS DE PRAGA;Secundaria;Privada;JIRON CONCHUCOS 278 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04609,-77.01147;136
501676;1049 JUANA ALARCO DE DAMMERT;Secundaria;Pública de gesti¢n directa;JIRON CUZCO 426 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.05116,-77.03003;392
511105;NUESTRA SEÑORA DEL PRADO;Secundaria;Privada;JIRON JUNIN 1411 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05183,-77.01496;157
511295;SANTISIMA TRINIDAD;Secundaria;Privada;JIRON HOLANDA 2456 CHACRA RIOS NORTE - LIMA CERCADO;LIMA;150101;-12.05127,-77.0644;562
555847;1037 RAMON ESPINOZA;Secundaria;Pública de gesti¢n directa;JIRON ANCASH 1254 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04673,-77.01667;255
556332;103 LUIS ARMANDO CABELLO HURTADO;Secundaria;Pública de gesti¢n directa;PASAJE ALTO DE LA ALIANZA S/N MANZANILLA - LIMA CERCADO;LIMA;150101;-12.05834,-77.01134;364
578310;CESAR VALLEJO;Secundaria;Privada;CALLE MATEO AGUILAR 175-179 MZ 37 LOTE 11 MIRONES BAJO - PARCELA B - LIMA CERCADO;LIMA;150101;-12.03643,-77.07412;241
578336;1160 JOSE FAUSTINO SANCHEZ CARRION;Secundaria;Pública de gesti¢n directa;JIRON REPUBLICA DEL ECUADOR 605 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.0427,-77.0561;253
578351;1156 JOSE SEBASTIAN BARRANCA LOVERA;Secundaria;Pública de gesti¢n directa;JIRON HUARANCAYO 168 CONDE DE LA VEGA BAJA - LIMA CERCADO;LIMA;150101;-12.03836,-77.05367;213
578393;1021 REPUBLICA FEDERAL DE ALEMANIA;Secundaria;Pública de gesti¢n directa;AVENIDA BELISARIO SOSA PELAEZ 1550 MATEO SALADO - LIMA CERCADO;LIMA;150101;-12.0644,-77.06369;240
578401;111 SAN JOSE DE ARTESANOS;Secundaria;Pública de gesti¢n directa;JIRON AYACUCHO 179 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.04645,-77.02476;154
